Alt,Direction,Endpoint,INPacketCountArgument,NominalBytesPerInterval,TotalLength,Category,FailedAt,DeviceSpeed,Win32Error,UsbdStatus,BytesTransferred,Result
1,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,OUT,0x03,N/A,9,180,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,4,80,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,10,200,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,OUT,0x03,N/A,9,288,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,4,128,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,10,320,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,OUT,0x03,N/A,9,576,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,4,256,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,10,640,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
1,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,IN,0x83,1,9,9,exact,NONE,HIGH,0,0x00000000,9,ACCEPTED
1,IN,0x83,1,4,4,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
1,IN,0x83,1,10,10,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,IN,0x83,1,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
1,IN,0x83,2,9,18,exact,NONE,HIGH,0,0x00000000,18,ACCEPTED
1,IN,0x83,2,4,8,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
1,IN,0x83,2,10,20,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,IN,0x83,2,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
1,IN,0x83,4,9,36,exact,NONE,HIGH,0,0x00000000,36,ACCEPTED
1,IN,0x83,4,4,16,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
1,IN,0x83,4,10,40,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,IN,0x83,4,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
1,IN,0x83,8,9,72,exact,NONE,HIGH,0,0x00000000,72,ACCEPTED
1,IN,0x83,8,4,32,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
1,IN,0x83,8,10,80,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,IN,0x83,8,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
1,IN,0x83,10,9,90,exact,NONE,HIGH,0,0x00000000,90,ACCEPTED
1,IN,0x83,10,4,40,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
1,IN,0x83,10,10,100,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,IN,0x83,10,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
1,IN,0x83,16,9,144,exact,NONE,HIGH,0,0x00000000,144,ACCEPTED
1,IN,0x83,16,4,64,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
1,IN,0x83,16,10,160,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,IN,0x83,16,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
1,IN,0x83,20,9,180,exact,NONE,HIGH,0,0x00000000,180,ACCEPTED
1,IN,0x83,20,4,80,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
1,IN,0x83,20,10,200,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,IN,0x83,20,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
1,IN,0x83,32,9,288,exact,NONE,HIGH,0,0x00000000,288,ACCEPTED
1,IN,0x83,32,4,128,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
1,IN,0x83,32,10,320,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,IN,0x83,32,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
1,IN,0x83,64,9,576,exact,NONE,HIGH,0,0x00000000,576,ACCEPTED
1,IN,0x83,64,4,256,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
1,IN,0x83,64,10,640,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
1,IN,0x83,64,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
2,OUT,0x03,N/A,17,17,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,8,8,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,18,18,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
2,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
2,OUT,0x03,N/A,17,34,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
